,age,income,children,credit_history,overdue_payments,active_loans,years_in_job,employment_type,owns_property,assets_value,other_loans,education,city,marital_status,support_indicator ,credit_risk
26,28,24903 złoty,1 dzieci,dobra historia,opóźnienia,1,15,stała,tak,252873 złoty,1,podstawowe,małe,kawaler/panna,0.7300617113637521,0
27,43,19387 złoty,1 dzieci,brak historii,3,1,2,stała,,67986 złoty,0,wyższe,duże,żonaty/zamężna,0.3224314709715858,1
28,33,,brak,dobra historia,brak opóźnień,0,13,stała,nie,207410 złoty,1,podstawowe,małe,kawaler/panna,0.7986624741379157,0
29,37,21129 złoty,1 dzieci,dobra historia,brak opóźnień,3,17,samozatrudnienie,tak,72144 złoty,0,średnie,średnie,żonaty/zamężna,0.3001509879847949,0
30,33,33246 złoty,2 dzieci,,brak opóźnień,1,12,stała,,29331 złoty,1,średnie,średnie,żonaty/zamężna,0.230763520538078,0
31,58,35341 złoty,brak,dobra historia,brak opóźnień,0,17,samozatrudnienie,tak,61975 złoty,0,podstawowe,małe,kawaler/panna,0.9712614706379988,0
32,39,,brak,dobra historia,brak opóźnień,2,9,stała,nie,,1,podstawowe,małe,kawaler/panna,0.2714402165067533,0
33,29,16803 złoty,3 dzieci,brak historii,,2,11,określona,nie,155667 złoty,1,średnie,duże,żonaty/zamężna,0.7029949475196461,0
34,48,,brak,dobra historia,,1,9,stała,tak,,0,średnie,małe,rozwiedziony/rozwiedziona,0.0551512056040505,0
35,27,17195 złoty,1 dzieci,dobra historia,opóźnienia,4,12,stała,tak,,1,wyższe,średnie,kawaler/panna,0.4997913704111084,0
36,42,,brak,dobra historia,brak opóźnień,2,13,stała,tak,114135 złoty,0,średnie,średnie,żonaty/zamężna,0.5160675879588814,0
37,20,18836 złoty,brak,dobra historia,brak opóźnień,2,4,stała,nie,38076 złoty,0,wyższe,średnie,żonaty/zamężna,0.7530182205501627,0
38,26,30009 złoty,2 dzieci,,brak opóźnień,0,10,stała,nie,115545 złoty,0,średnie,duże,żonaty/zamężna,0.6844222104962738,0
39,41,40000 złoty,brak,dobra historia,brak opóźnień,2,10,samozatrudnienie,nie,66282 złoty,0,średnie,średnie,żonaty/zamężna,0.6357645336456814,0
40,47,23429 złoty,1 dzieci,,,3,7,stała,tak,73472 złoty,1,średnie,średnie,kawaler/panna,0.2847915973221663,0
41,41,19764 złoty,brak,brak historii,brak opóźnień,0,11,stała,tak,88613 złoty,0,wyższe,duże,kawaler/panna,0.4331927676225584,0
42,38,,brak,dobra historia,brak opóźnień,0,5,stała,nie,,0,wyższe,średnie,żonaty/zamężna,0.5964755691427835,0
43,36,23439 złoty,3 dzieci,dobra historia,,3,5,brak,tak,55130 złoty,0,wyższe,małe,żonaty/zamężna,0.3948065057713775,0
44,25,,1 dzieci,dobra historia,opóźnienia,3,6,stała,nie,57134 złoty,0,średnie,małe,żonaty/zamężna,0.8817435519995913,0
45,32,,3 dzieci,dobra historia,,1,3,stała,tak,86530 złoty,0,średnie,duże,kawaler/panna,0.9118118678386726,0
46,35,27595 złoty,3 dzieci,brak historii,,2,6,brak,tak,,0,podstawowe,małe,kawaler/panna,0.5090885617897902,0
47,50,24461 złoty,3 dzieci,dobra historia,brak opóźnień,3,19,stała,nie,28384 złoty,1,średnie,małe,kawaler/panna,0.1176156356242777,0
48,43,27688 złoty,3 dzieci,dobra historia,2,3,4,brak,nie,,0,podstawowe,średnie,żonaty/zamężna,0.241125861556304,0
49,22,27360 złoty,brak,dobra historia,opóźnienia,5,5,określona,tak,25756 złoty,0,średnie,małe,żonaty/zamężna,0.9433209976158772,1
50,43,9082 złoty,3 dzieci,brak historii,,4,10,stała,nie,348410 złoty,0,średnie,duże,żonaty/zamężna,0.7987021123644394,0
51,36,30285 złoty,brak,,brak opóźnień,2,4,stała,tak,183521 złoty,0,średnie,małe,żonaty/zamężna,0.7231788408387176,0
52,33,15748 złoty,brak,,opóźnienia,1,5,samozatrudnienie,,,0,wyższe,małe,żonaty/zamężna,0.3757285573327835,0
53,46,12734 złoty,brak,dobra historia,brak opóźnień,1,3,stała,tak,44730 złoty,1,podstawowe,średnie,żonaty/zamężna,0.3528994234263786,0
54,50,12679 złoty,brak,dobra historia,opóźnienia,3,10,samozatrudnienie,tak,76384 złoty,1,podstawowe,średnie,żonaty/zamężna,0.5577154955317422,0
55,49,27358 złoty,1 dzieci,dobra historia,opóźnienia,0,8,stała,tak,40633 złoty,1,podstawowe,średnie,żonaty/zamężna,0.5643349774241434,0
56,31,19706 złoty,brak,brak historii,opóźnienia,2,12,samozatrudnienie,nie,220257 złoty,1,średnie,średnie,żonaty/zamężna,0.6035529313703759,0
57,36,,brak,dobra historia,brak opóźnień,0,11,stała,nie,43596 złoty,0,podstawowe,małe,żonaty/zamężna,0.5739216891735285,0
58,43,,brak,brak historii,brak opóźnień,1,15,stała,nie,68637 złoty,0,podstawowe,średnie,kawaler/panna,0.3184721667664062,0
59,49,10723 złoty,brak,dobra historia,opóźnienia,0,7,stała,tak,77017 złoty,1,średnie,średnie,żonaty/zamężna,0.1806213681377834,0
60,35,23621 złoty,2 dzieci,dobra historia,,1,4,samozatrudnienie,tak,,0,średnie,średnie,żonaty/zamężna,0.9707280333985616,0
61,38,24816 złoty,brak,brak historii,brak opóźnień,1,5,stała,tak,117375 złoty,0,podstawowe,małe,żonaty/zamężna,0.0919774451731422,0
62,28,34296 złoty,brak,,brak opóźnień,1,19,samozatrudnienie,nie,60562 złoty,0,średnie,małe,żonaty/zamężna,0.8177692699376886,0
63,28,40000 złoty,brak,dobra historia,brak opóźnień,0,0,stała,tak,235640 złoty,0,podstawowe,małe,rozwiedziony/rozwiedziona,0.1969189249345838,0
64,48,,brak,,opóźnienia,2,15,stała,nie,70204 złoty,1,średnie,duże,kawaler/panna,0.9536158781853176,0
65,53,21456 złoty,1 dzieci,brak historii,brak opóźnień,1,15,stała,tak,159523 złoty,1,średnie,małe,kawaler/panna,0.4993533792757463,0
66,39,19184 złoty,brak,brak historii,,5,11,określona,,25098 złoty,1,średnie,średnie,żonaty/zamężna,0.3380587649014324,1
67,50,27361 złoty,brak,brak historii,,2,5,stała,tak,270347 złoty,0,średnie,małe,kawaler/panna,0.9189274462227736,0
68,43,24534 złoty,brak,dobra historia,opóźnienia,1,12,samozatrudnienie,tak,60881 złoty,1,podstawowe,małe,żonaty/zamężna,0.3405254314218564,0
69,33,18466 złoty,brak,,opóźnienia,3,5,stała,nie,98848 złoty,0,podstawowe,duże,rozwiedziony/rozwiedziona,0.5281154229173742,0
70,43,17668 złoty,4 dzieci,brak historii,brak opóźnień,1,7,samozatrudnienie,tak,35151 złoty,1,średnie,małe,żonaty/zamężna,0.7998260478815036,0
71,55,12604 złoty,brak,brak historii,2,1,11,stała,tak,25807 złoty,1,średnie,małe,żonaty/zamężna,0.7473203688416302,0
72,39,,2 dzieci,dobra historia,brak opóźnień,0,7,brak,nie,,0,wyższe,małe,kawaler/panna,0.895262642814066,0
73,55,27711 złoty,2 dzieci,,brak opóźnień,0,4,określona,tak,91277 złoty,0,wyższe,duże,kawaler/panna,0.3674444579958126,0
74,18,,brak,dobra historia,,3,9,określona,tak,27228 złoty,0,wyższe,małe,żonaty/zamężna,0.2039535722805807,0
75,48,,5 dzieci,,opóźnienia,0,12,określona,tak,63707 złoty,1,średnie,małe,żonaty/zamężna,0.4345580468113081,0
76,40,15860 złoty,2 dzieci,dobra historia,,0,15,brak,,10995 złoty,0,średnie,średnie,żonaty/zamężna,0.6828768633934585,0
77,37,12846 złoty,1 dzieci,brak historii,,3,13,stała,nie,,0,podstawowe,małe,żonaty/zamężna,0.2621248749769425,0
78,40,26356 złoty,brak,,opóźnienia,0,17,stała,nie,43404 złoty,1,podstawowe,średnie,kawaler/panna,0.6776582679120935,0
79,20,13096 złoty,1 dzieci,dobra historia,,2,11,stała,tak,,0,podstawowe,małe,żonaty/zamężna,0.1697179254571125,1
80,37,40000 złoty,brak,dobra historia,brak opóźnień,0,9,brak,nie,,0,średnie,duże,rozwiedziony/rozwiedziona,0.9943375677484464,0
81,43,,brak,dobra historia,brak opóźnień,0,18,stała,tak,,0,podstawowe,duże,żonaty/zamężna,0.5482758478832558,0
82,54,25256 złoty,2 dzieci,dobra historia,,3,8,samozatrudnienie,tak,131342 złoty,0,podstawowe,średnie,żonaty/zamężna,0.0776198533876133,0
83,34,40000 złoty,3 dzieci,,opóźnienia,1,14,stała,tak,27821 złoty,0,podstawowe,średnie,żonaty/zamężna,0.1181035294622326,0
84,31,29719 złoty,brak,dobra historia,brak opóźnień,1,16,stała,tak,,0,średnie,średnie,żonaty/zamężna,0.5903127605440917,0
85,34,24048 złoty,2 dzieci,dobra historia,,1,0,określona,tak,68067 złoty,1,podstawowe,średnie,kawaler/panna,0.5550742769121512,0
86,49,,2 dzieci,dobra historia,opóźnienia,1,10,brak,nie,,1,podstawowe,małe,kawaler/panna,0.4136991674319353,0
87,43,11038 złoty,brak,dobra historia,,1,4,określona,nie,63191 złoty,0,podstawowe,średnie,kawaler/panna,0.605713884139491,0
88,34,32371 złoty,brak,,opóźnienia,4,4,stała,tak,51594 złoty,1,wyższe,średnie,kawaler/panna,0.0979861074734546,0
89,45,40000 złoty,brak,,brak opóźnień,2,5,samozatrudnienie,nie,37860 złoty,1,podstawowe,małe,żonaty/zamężna,0.1227042480449945,0
90,40,17686 złoty,2 dzieci,brak historii,opóźnienia,0,0,określona,,103699 złoty,0,średnie,średnie,kawaler/panna,0.2912853740306567,0
91,49,12462 złoty,2 dzieci,dobra historia,,3,14,stała,nie,188109 złoty,1,średnie,średnie,kawaler/panna,0.8242982527764082,0
92,32,,brak,dobra historia,opóźnienia,1,8,określona,tak,,0,podstawowe,małe,rozwiedziony/rozwiedziona,0.2395171369841625,0
93,36,13488 złoty,1 dzieci,,brak opóźnień,2,15,brak,,23434 złoty,0,średnie,małe,żonaty/zamężna,0.737526618453484,0
94,36,20809 złoty,2 dzieci,brak historii,brak opóźnień,2,11,stała,tak,145364 złoty,0,średnie,średnie,kawaler/panna,0.5785485870900927,0
95,25,40000 złoty,2 dzieci,dobra historia,opóźnienia,0,9,brak,tak,61991 złoty,0,podstawowe,małe,kawaler/panna,0.3420776155241247,0
96,42,,brak,brak historii,,1,5,stała,tak,19230 złoty,1,średnie,średnie,żonaty/zamężna,0.1259936954862129,0
97,42,25656 złoty,1 dzieci,dobra historia,,1,8,określona,tak,37388 złoty,0,podstawowe,średnie,żonaty/zamężna,0.728205421216886,0
98,40,18032 złoty,3 dzieci,dobra historia,,1,12,stała,nie,210199 złoty,0,średnie,średnie,żonaty/zamężna,0.4349521792195261,0
99,37,16455 złoty,brak,dobra historia,brak opóźnień,0,8,samozatrudnienie,nie,56602 złoty,0,wyższe,średnie,żonaty/zamężna,0.6079070363065361,0
100,25,40000 złoty,brak,brak historii,,1,6,określona,tak,114778 złoty,0,średnie,średnie,żonaty/zamężna,0.445643693570728,0
101,35,24352 złoty,2 dzieci,,brak opóźnień,1,9,stała,nie,16388 złoty,1,podstawowe,średnie,kawaler/panna,0.6903605135231574,0
102,36,,brak,,brak opóźnień,1,15,określona,nie,32371 złoty,0,średnie,małe,kawaler/panna,0.0557206331488987,0
103,31,15728 złoty,3 dzieci,,brak opóźnień,1,10,stała,tak,176322 złoty,0,średnie,duże,żonaty/zamężna,0.0487534108585968,0
104,38,14341 złoty,brak,dobra historia,,6,15,stała,,56249 złoty,0,średnie,średnie,żonaty/zamężna,0.2628591213751158,1
105,44,16761 złoty,brak,dobra historia,brak opóźnień,0,0,określona,,115992 złoty,0,podstawowe,małe,żonaty/zamężna,0.8004323187444664,0
106,58,29186 złoty,brak,,opóźnienia,0,10,określona,tak,134796 złoty,0,wyższe,małe,kawaler/panna,0.4266475153708945,0
107,41,,brak,dobra historia,opóźnienia,0,9,stała,nie,58428 złoty,0,podstawowe,duże,żonaty/zamężna,0.9769736920245992,0
108,42,21195 złoty,brak,dobra historia,brak opóźnień,0,5,brak,tak,,1,wyższe,duże,kawaler/panna,0.7806289445547857,0
109,39,40000 złoty,1 dzieci,brak historii,brak opóźnień,0,10,stała,nie,36332 złoty,1,średnie,małe,rozwiedziony/rozwiedziona,0.612021997375419,0
110,20,15549 złoty,brak,dobra historia,opóźnienia,2,14,stała,tak,11464 złoty,1,średnie,małe,kawaler/panna,0.2573331321171543,0
111,39,,3 dzieci,brak historii,brak opóźnień,0,10,stała,nie,163593 złoty,0,podstawowe,małe,kawaler/panna,0.2639727237976832,0
112,40,15746 złoty,1 dzieci,dobra historia,opóźnienia,0,3,stała,,252011 złoty,1,podstawowe,małe,żonaty/zamężna,0.3403775993010259,0
113,64,23031 złoty,brak,dobra historia,opóźnienia,2,12,stała,nie,,0,średnie,małe,żonaty/zamężna,0.8473527699446655,0
114,38,,brak,brak historii,brak opóźnień,2,15,samozatrudnienie,tak,273266 złoty,1,średnie,małe,kawaler/panna,0.7986228160640046,0
115,43,23428 złoty,1 dzieci,dobra historia,brak opóźnień,1,10,stała,tak,117510 złoty,1,średnie,średnie,kawaler/panna,0.7350927707227127,0
116,39,27509 złoty,brak,brak historii,brak opóźnień,2,9,stała,tak,11426 złoty,1,średnie,średnie,żonaty/zamężna,0.5250884729195346,0
117,28,27362 złoty,brak,brak historii,opóźnienia,2,6,określona,tak,21666 złoty,0,podstawowe,małe,kawaler/panna,0.3696823722512586,0
118,51,15114 złoty,3 dzieci,dobra historia,brak opóźnień,3,11,samozatrudnienie,tak,10000 złoty,1,średnie,duże,rozwiedziony/rozwiedziona,0.7358089394675944,0
119,47,12563 złoty,brak,dobra historia,brak opóźnień,0,8,samozatrudnienie,,103883 złoty,0,średnie,małe,rozwiedziony/rozwiedziona,0.332663823876328,0
120,47,,brak,dobra historia,,1,28,stała,nie,40695 złoty,0,podstawowe,duże,kawaler/panna,0.7757783613827617,0
121,30,17292 złoty,1 dzieci,brak historii,,1,15,samozatrudnienie,,49169 złoty,1,średnie,duże,żonaty/zamężna,0.1517349815878671,0
122,54,31244 złoty,1 dzieci,,brak opóźnień,3,11,brak,,43524 złoty,0,podstawowe,małe,żonaty/zamężna,0.625590392783539,0
123,25,9859 złoty,brak,dobra historia,brak opóźnień,0,12,stała,nie,,0,średnie,duże,żonaty/zamężna,0.0983684221495957,0
124,45,19152 złoty,2 dzieci,dobra historia,3,1,9,określona,nie,,0,podstawowe,małe,rozwiedziony/rozwiedziona,0.556650448786877,1
125,61,,1 dzieci,dobra historia,brak opóźnień,2,12,samozatrudnienie,nie,153587 złoty,0,średnie,małe,żonaty/zamężna,0.0986113930896519,0
126,30,27900 złoty,1 dzieci,dobra historia,brak opóźnień,2,12,brak,tak,35747 złoty,0,podstawowe,średnie,żonaty/zamężna,0.8961738813295913,0
127,34,,brak,dobra historia,brak opóźnień,2,6,stała,nie,25034 złoty,0,średnie,małe,żonaty/zamężna,0.403409244208824,0
128,40,23934 złoty,4 dzieci,,brak opóźnień,1,8,brak,,88491 złoty,1,podstawowe,małe,kawaler/panna,0.6342021075892708,0
129,34,12396 złoty,brak,dobra historia,brak opóźnień,1,11,samozatrudnienie,tak,50025 złoty,1,średnie,duże,kawaler/panna,0.3417558521692858,0
130,24,25904 złoty,1 dzieci,dobra historia,brak opóźnień,1,12,samozatrudnienie,nie,68129 złoty,0,wyższe,średnie,kawaler/panna,0.5434763213701083,0
131,40,,brak,dobra historia,brak opóźnień,0,8,stała,tak,130240 złoty,1,średnie,duże,żonaty/zamężna,0.7194973518168887,0
132,29,14360 złoty,2 dzieci,,brak opóźnień,4,7,określona,nie,36792 złoty,1,podstawowe,małe,żonaty/zamężna,0.3418576755990413,0
133,44,19209 złoty,brak,dobra historia,,4,12,stała,,10596 złoty,0,średnie,średnie,kawaler/panna,0.2125970438003253,0
134,30,13014 złoty,brak,dobra historia,opóźnienia,1,12,określona,nie,46823 złoty,1,średnie,małe,żonaty/zamężna,0.6938788686328295,0
135,55,17365 złoty,2 dzieci,dobra historia,3,1,7,samozatrudnienie,,500000 złoty,1,średnie,duże,żonaty/zamężna,0.1285662119304214,1
136,32,12128 złoty,brak,dobra historia,,1,0,stała,nie,,1,podstawowe,małe,kawaler/panna,0.8244967380437099,0
137,36,8807 złoty,brak,dobra historia,,3,12,stała,tak,33695 złoty,0,średnie,duże,kawaler/panna,0.5562638435504346,0
138,48,36643 złoty,1 dzieci,,brak opóźnień,3,14,stała,tak,52458 złoty,0,średnie,małe,żonaty/zamężna,0.1442472876101602,0
139,27,11521 złoty,2 dzieci,dobra historia,brak opóźnień,1,13,określona,nie,109909 złoty,0,średnie,średnie,kawaler/panna,0.4661272493427375,0
140,42,20143 złoty,brak,dobra historia,,3,18,określona,tak,29292 złoty,0,średnie,średnie,rozwiedziony/rozwiedziona,0.3565833634615554,0
141,53,32094 złoty,brak,brak historii,brak opóźnień,0,14,określona,nie,500000 złoty,1,średnie,średnie,kawaler/panna,0.1573723555360732,0
142,23,16196 złoty,4 dzieci,dobra historia,opóźnienia,3,11,samozatrudnienie,nie,29375 złoty,1,wyższe,średnie,kawaler/panna,0.0388975620977576,0
143,41,14580 złoty,1 dzieci,brak historii,,1,5,samozatrudnienie,tak,32676 złoty,1,wyższe,średnie,kawaler/panna,0.4473324665503334,0
144,42,24664 złoty,brak,dobra historia,opóźnienia,3,9,określona,tak,274334 złoty,0,średnie,małe,żonaty/zamężna,0.6515273869063906,0
145,47,,2 dzieci,brak historii,3,0,8,stała,tak,,0,podstawowe,małe,kawaler/panna,0.8880039562961226,1
146,27,12275 złoty,1 dzieci,dobra historia,opóźnienia,3,11,samozatrudnienie,tak,292471 złoty,0,podstawowe,małe,żonaty/zamężna,0.3329860952681372,0
147,26,,brak,dobra historia,brak opóźnień,1,3,samozatrudnienie,tak,226962 złoty,0,średnie,małe,kawaler/panna,0.3043978943458937,0
148,45,9262 złoty,brak,brak historii,brak opóźnień,1,12,samozatrudnienie,tak,114983 złoty,1,średnie,małe,żonaty/zamężna,0.5294170650415552,0
149,42,18095 złoty,brak,dobra historia,brak opóźnień,3,7,stała,nie,16306 złoty,1,podstawowe,średnie,kawaler/panna,0.5676778865004458,0
150,42,22406 złoty,3 dzieci,,opóźnienia,0,11,określona,tak,40146 złoty,1,średnie,średnie,kawaler/panna,0.1422908097794385,0
151,43,14366 złoty,brak,brak historii,brak opóźnień,0,7,samozatrudnienie,nie,26108 złoty,1,średnie,małe,żonaty/zamężna,0.0751475454381629,0
152,33,17527 złoty,brak,,opóźnienia,2,9,określona,nie,,0,podstawowe,duże,żonaty/zamężna,0.1781042674594721,0
153,42,10893 złoty,3 dzieci,,opóźnienia,1,5,stała,nie,,1,średnie,średnie,żonaty/zamężna,0.614144680706051,0
154,42,22891 złoty,brak,dobra historia,,2,5,samozatrudnienie,,32055 złoty,1,średnie,średnie,żonaty/zamężna,0.3908465964567552,0
155,32,37340 złoty,1 dzieci,dobra historia,,0,12,stała,nie,,0,podstawowe,średnie,żonaty/zamężna,0.093937699309245,0
156,58,12726 złoty,brak,brak historii,,2,14,brak,nie,127595 złoty,0,wyższe,średnie,kawaler/panna,0.7814385404456675,0
157,44,,1 dzieci,dobra historia,brak opóźnień,1,9,określona,nie,,0,średnie,średnie,żonaty/zamężna,0.6339738948321787,0
158,28,,brak,brak historii,,1,16,stała,tak,87019 złoty,0,średnie,średnie,żonaty/zamężna,0.8351062713875977,0
159,46,40000 złoty,brak,dobra historia,,2,15,stała,tak,16492 złoty,0,średnie,małe,kawaler/panna,0.3057916902782646,0
160,30,,1 dzieci,dobra historia,opóźnienia,1,11,stała,tak,,1,średnie,średnie,rozwiedziony/rozwiedziona,0.5673123582024407,0
161,47,,1 dzieci,dobra historia,,1,5,stała,,,1,podstawowe,średnie,żonaty/zamężna,0.7051313130466123,0
162,51,,1 dzieci,dobra historia,opóźnienia,0,11,brak,,,0,średnie,średnie,żonaty/zamężna,0.9197210913792254,0
163,31,20930 złoty,1 dzieci,dobra historia,brak opóźnień,3,11,określona,nie,23627 złoty,1,średnie,małe,żonaty/zamężna,0.0523493622514941,0
164,49,6384 złoty,1 dzieci,dobra historia,brak opóźnień,2,12,samozatrudnienie,tak,,0,podstawowe,średnie,żonaty/zamężna,0.917848208582062,0
165,44,28297 złoty,1 dzieci,dobra historia,brak opóźnień,1,8,stała,tak,35792 złoty,1,średnie,średnie,żonaty/zamężna,0.188355705278599,0
166,48,40000 złoty,1 dzieci,dobra historia,brak opóźnień,3,6,stała,nie,50240 złoty,0,średnie,małe,kawaler/panna,0.4058694961840262,0
167,58,23349 złoty,1 dzieci,dobra historia,brak opóźnień,0,1,stała,tak,27567 złoty,0,wyższe,średnie,żonaty/zamężna,0.1259315833950529,0
168,37,13153 złoty,1 dzieci,dobra historia,,3,10,brak,tak,42626 złoty,1,wyższe,średnie,rozwiedziony/rozwiedziona,0.8823343334554917,0
169,32,17042 złoty,1 dzieci,brak historii,2,3,9,stała,tak,75964 złoty,0,podstawowe,średnie,kawaler/panna,0.2767168063432539,0
170,31,40000 złoty,brak,dobra historia,,2,16,samozatrudnienie,tak,40686 złoty,1,podstawowe,małe,kawaler/panna,0.6061151204202947,0
171,31,34716 złoty,brak,,opóźnienia,2,5,stała,,13106 złoty,0,średnie,duże,żonaty/zamężna,0.4717155165595161,0
172,39,30333 złoty,brak,brak historii,brak opóźnień,3,9,stała,tak,108205 złoty,0,podstawowe,średnie,żonaty/zamężna,0.8768525354685768,0
173,43,26323 złoty,3 dzieci,dobra historia,brak opóźnień,4,4,samozatrudnienie,nie,102759 złoty,1,średnie,duże,rozwiedziony/rozwiedziona,0.0398916385467994,0
174,42,15826 złoty,2 dzieci,brak historii,brak opóźnień,3,18,stała,,42126 złoty,1,średnie,duże,rozwiedziony/rozwiedziona,0.414690344196117,0
175,48,19924 złoty,1 dzieci,dobra historia,brak opóźnień,5,8,stała,tak,114208 złoty,1,średnie,małe,żonaty/zamężna,0.255761156002276,1
176,40,21184 złoty,brak,,opóźnienia,2,3,stała,tak,43882 złoty,0,średnie,średnie,żonaty/zamężna,0.2587909403126283,0
177,54,28992 złoty,brak,dobra historia,brak opóźnień,2,10,samozatrudnienie,tak,23765 złoty,0,podstawowe,średnie,żonaty/zamężna,0.531686779997584,0
178,37,40000 złoty,3 dzieci,dobra historia,brak opóźnień,0,10,określona,,85705 złoty,0,podstawowe,średnie,kawaler/panna,0.2391756941654702,0
179,67,38529 złoty,3 dzieci,dobra historia,opóźnienia,3,6,określona,,161129 złoty,0,średnie,małe,żonaty/zamężna,0.5223078982108121,0
180,46,10832 złoty,brak,,brak opóźnień,2,9,stała,tak,79274 złoty,1,podstawowe,duże,żonaty/zamężna,0.1352471946681649,0
181,31,24636 złoty,2 dzieci,brak historii,opóźnienia,2,4,stała,tak,118804 złoty,0,wyższe,małe,rozwiedziony/rozwiedziona,0.924695237392286,0
182,29,31836 złoty,brak,dobra historia,brak opóźnień,2,7,stała,,44246 złoty,1,wyższe,małe,rozwiedziony/rozwiedziona,0.8221788451318267,0
183,44,30014 złoty,brak,dobra historia,brak opóźnień,1,7,stała,tak,55485 złoty,1,średnie,małe,kawaler/panna,0.0881633810869008,0
184,37,16080 złoty,2 dzieci,dobra historia,opóźnienia,0,23,samozatrudnienie,,174375 złoty,0,średnie,małe,rozwiedziony/rozwiedziona,0.8123456420639634,0
185,47,,1 dzieci,brak historii,brak opóźnień,2,15,samozatrudnienie,nie,124504 złoty,0,średnie,średnie,rozwiedziony/rozwiedziona,0.769418330568148,0
186,44,,2 dzieci,dobra historia,,3,10,stała,nie,128912 złoty,0,średnie,małe,kawaler/panna,0.0690356391128309,0
187,39,,brak,dobra historia,brak opóźnień,2,9,stała,tak,42379 złoty,0,wyższe,średnie,kawaler/panna,0.4943324486239971,0
188,31,,brak,brak historii,brak opóźnień,0,16,stała,nie,,0,średnie,średnie,kawaler/panna,0.1530064898498394,0
